file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
363,SRC0,27:13.0,2460010.852,60010.35223,10.29878777,-46.35710368,802.0598326,121.0732701,Prompt5,V,80,14.42888124,0.02187218,20,13537.46953,275.4780706,,12:35.0,,,,,
363,SRC1,27:13.0,2460010.852,60010.35223,10.29829189,-46.34563723,772.6144462,51.56722282,Prompt5,V,80,13.59978488,0.011261687,20,29051.99997,302.9070928,,12:35.0,,,,,
364,SRC0,28:09.0,2460010.895,60010.39455,10.29879035,-46.35703317,802.2289466,120.652972,Prompt5,V,80,14.63113017,0.026279985,20,11236.67753,275.2994229,,12:35.0,,,,,
364,SRC1,28:09.0,2460010.895,60010.39455,10.29829662,-46.34558832,772.9148984,51.27941197,Prompt5,V,80,13.7436047,0.012747317,20,25447.67492,300.5346424,,12:35.0,,,,,
365,SRC0,48:05.0,2460010.992,60010.49172,10.29878277,-46.35712101,801.7469306,121.171058,PROMPT-MO-1,V,84.1,13.36209082,0.007641105,20,38015.40899,268.4853781,,12:35.0,,,,,
365,SRC1,48:05.0,2460010.992,60010.49172,10.29828845,-46.34566673,772.3969333,51.7401399,PROMPT-MO-1,V,84.1,13.61883551,0.009123728,20,30009.70944,253.2420482,,12:35.0,,,,,
366,SRC0,18:19.0,2460011.054,60010.55439,10.29878987,-46.35713997,802.1859267,121.2939397,PROMPT-MO-1,V,84.1,13.62856983,0.009177369,20,29741.85569,252.4635732,,12:35.0,,,,,
366,SRC1,18:19.0,2460011.054,60010.55439,10.29829588,-46.34566963,772.859142,51.76692465,PROMPT-MO-1,V,84.1,13.51767103,0.008509769,20,32940.30268,259.1934994,,12:35.0,,,,,
367,SRC0,21:19.0,2460011.098,60010.59814,10.29878696,-46.35716542,802.0017384,121.4431014,PROMPT-MO-1,V,84.1,13.82941595,0.010638288,20,24718.92697,243.3920804,,12:35.0,,,,,
367,SRC1,21:19.0,2460011.098,60010.59814,10.29829452,-46.34572471,772.7678493,52.09607473,PROMPT-MO-1,V,84.1,13.56003865,0.008799105,20,31679.66166,257.7838649,,12:35.0,,,,,
368,SRC0,25:18.0,2460011.143,60010.64257,10.29878821,-46.35715406,802.0810314,121.376472,PROMPT-MO-1,V,84.1,14.17039627,0.013759482,20,18056.66277,230.2873382,,12:35.0,,,,,
368,SRC1,25:18.0,2460011.143,60010.64257,10.29829375,-46.34571111,772.7212337,52.01339125,PROMPT-MO-1,V,84.1,13.7590298,0.010180788,20,26374.4903,248.4728147,,12:35.0,,,,,
369,SRC0,48:35.0,2460011.2,60010.70041,10.29878632,-46.35720778,801.9568642,121.6967727,PROMPT-MO-1,V,84.1,14.40431503,0.016618426,20,14556.93632,224.5243643,,12:35.0,,,,,
369,SRC1,48:35.0,2460011.2,60010.70041,10.29829522,-46.34576719,772.8060858,52.35212659,PROMPT-MO-1,V,84.1,13.80426369,0.010588706,20,25298.25225,247.9296991,,12:35.0,,,,,
370,SRC0,56:25.0,2460011.248,60010.74751,10.2987843,-46.35716676,801.8363272,121.4477803,PROMPT-MO-1,V,84.1,14.41457684,0.017424074,20,14420.00003,233.2814007,,12:35.0,,,,,
370,SRC1,56:25.0,2460011.248,60010.74751,10.29829309,-46.34573235,772.6775564,52.14018288,PROMPT-MO-1,V,84.1,13.68302486,0.01000355,20,28286.94526,261.8292218,,12:35.0,,,,,
371,SRC0,07:17.0,2460011.297,60010.79672,10.29878419,-46.3571368,801.8332442,121.2677142,PROMPT-MO-1,V,84.1,14.63424321,0.021732832,20,11778.73662,238.1466792,,12:35.0,,,,,
371,SRC1,07:17.0,2460011.297,60010.79672,10.29828895,-46.3456737,772.4272188,51.7826287,PROMPT-MO-1,V,84.1,13.88374961,0.012048608,20,23512.35627,262.3739275,,12:35.0,,,,,
372,SRC0,11:48.0,2460011.342,60010.84153,10.29878674,-46.3571288,801.9925627,121.2228285,PROMPT-MO-1,V,84.1,14.64477355,0.023308032,20,11665.04919,253.1266152,,12:35.0,,,,,
372,SRC1,11:48.0,2460011.342,60010.84153,10.29829515,-46.34564221,772.817151,51.60130279,PROMPT-MO-1,V,84.1,13.80874521,0.011964801,20,25194.04559,279.1735311,,12:35.0,,,,,
373,SRC0,12:46.0,2460011.384,60010.88387,10.2987889,-46.35712931,802.1267391,121.228647,PROMPT-MO-1,V,84.1,15.04729589,0.041420925,20,8051.515656,313.1004133,,12:35.0,,,,,
373,SRC1,12:46.0,2460011.384,60010.88387,10.29829577,-46.34570876,772.8475097,52.00181141,PROMPT-MO-1,V,84.1,14.22454301,0.020520344,20,17178.24494,327.7552341,,12:35.0,,,,,
374,SRC0,15:09.0,2460011.511,60011.01052,10.29878166,-46.35715098,801.6738096,121.3496476,Prompt5,V,80,13.61615706,0.009846604,20,28617.20159,260.711467,,12:35.0,,,,,
374,SRC1,15:09.0,2460011.511,60011.01052,10.29828825,-46.34568562,772.3826207,51.85333933,Prompt5,V,80,13.62193078,0.009917611,20,28465.42505,261.2073772,,12:35.0,,,,,
